file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-01-14-11:04:25_J1558_PERF-ASM.prt   119 1.10e+10  184.48s  3m04.48   59.8
2018-01-14-11:07:36_J1559_PERF-ASM.prt   119 1.10e+10  184.65s  3m04.65   59.7
2018-01-14-11:10:46_J1560_PERF-ASM.prt   119 1.10e+10  184.24s  3m04.24   59.9
2018-01-14-11:13:55_J1561_PERF-ASM.prt   118 1.09e+10  182.88s  3m02.88   59.8
2018-01-14-11:17:04_J1562_PERF-ASM.prt   118 1.09e+10  182.92s  3m02.92   59.8
2018-01-14-11:20:13_J1563_PERF-ASM.prt   118 1.09e+10  182.86s  3m02.86   59.8
2018-01-14-11:23:22_J1564_PERF-ASM.prt   118 1.09e+10  182.85s  3m02.85   59.8
2018-01-14-11:26:33_J1565_PERF-ASM.prt   119 1.10e+10  184.69s  3m04.69   59.7
2018-01-14-11:29:42_J1566_PERF-ASM.prt   118 1.09e+10  183.13s  3m03.13   59.7
2018-01-14-11:32:51_J1567_PERF-ASM.prt   118 1.09e+10  183.06s  3m03.06   59.7
2018-01-14-11:36:02_J1568_PERF-ASM.prt   119 1.10e+10  184.53s  3m04.53   59.8
2018-01-14-11:39:12_J1569_PERF-ASM.prt   119 1.10e+10  184.42s  3m04.42   59.8
2018-01-14-11:42:22_J1570_PERF-ASM.prt   118 1.09e+10  182.99s  3m02.99   59.8
2018-01-14-11:45:32_J1571_PERF-ASM.prt   119 1.10e+10  184.50s  3m04.50   59.8
2018-01-14-11:48:43_J1572_PERF-ASM.prt   119 1.10e+10  184.46s  3m04.46   59.8
2018-01-14-11:51:53_J1573_PERF-ASM.prt   119 1.10e+10  184.58s  3m04.58   59.8
2018-01-14-11:55:02_J1574_PERF-ASM.prt   118 1.09e+10  182.97s  3m02.97   59.8
2018-01-14-11:58:13_J1575_PERF-ASM.prt   119 1.10e+10  184.37s  3m04.37   59.8
2018-01-14-12:01:24_J1576_PERF-ASM.prt   119 1.10e+10  184.40s  3m04.40   59.8
2018-01-14-12:04:33_J1577_PERF-ASM.prt   118 1.09e+10  182.90s  3m02.90   59.8

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx
T100  LR R,R                 : 20     3.1     3.2     3.06   0.5%    1.00   0.24
T101  LA R,n                 : 20     4.0     4.0     3.90   0.4%    1.27   0.30
T102  L R,m                  : 20    12.9    13.2    12.80   0.6%    4.18   1.00
T103  L R,m (unal)           : 20    15.2    15.4    15.13   0.6%    4.94   1.18
T104  LH R,m                 : 20    14.6    14.8    14.56   0.6%    4.75   1.14
T105  LH R,m (unal3)         : 20    16.0    16.1    15.93   0.4%    5.20   1.24
T106  LTR R,R                : 20     4.1     4.1     4.03   0.5%    1.32   0.31
T107  LCR R,R                : 20     4.6     4.7     4.56   0.8%    1.49   0.36
T108  LNR R,R                : 20     4.0     4.1     3.96   0.6%    1.29   0.31
T109  LPR R,R                : 20     4.8     4.9     4.75   0.7%    1.55   0.37
T110  ST R,m                 : 20    12.9    13.0    12.79   0.3%    4.17   1.00
T111  ST R,m (unal)          : 20    13.7    14.0    13.59   0.6%    4.44   1.06
T112  STH R,m                : 20    15.2    15.3    15.08   0.2%    4.92   1.18
T113  STH R,m (unal1)        : 20    15.0    15.1    14.92   0.4%    4.87   1.17
T114  STH R,m (unal3)        : 20    15.5    15.7    15.45   0.5%    5.04   1.21
T115  STC R,m                : 20    14.1    14.2    13.99   0.4%    4.57   1.09
T116  STCM R,i,m (0010)      : 20    19.5    19.8    19.51   0.4%    6.37   1.52
T117  STCM R,i,m (1100)      : 20    19.5    19.7    19.46   0.5%    6.35   1.52
T118  STCM R,i,m (0111)      : 20    16.2    16.3    16.13   0.5%    5.26   1.26
T120  STM 2,3,m (2r)         : 20    17.6    17.8    17.54   0.3%    5.72   1.37
T121  STM 2,7,m (6r)         : 20    21.7    21.9    21.65   0.4%    7.07   1.69
T122  STM 14,12,m (15r)      : 20    30.7    31.0    30.68   0.4%   10.01   2.40
T123  LM 2,3,m (2r)          : 20    17.7    17.8    17.62   0.3%    5.75   1.38
T124  LM 2,7,m (6r)          : 20    21.9    22.0    21.83   0.3%    7.13   1.71
T125  LM 0,11,m (12r)        : 20    28.5    28.7    28.33   0.4%    9.25   2.21
T150  MVC m,m (10c)          : 20    31.5    31.7    31.40   0.4%   10.25   2.45
