s370_perf_sum  -nrr  -rat

File num: name ----------------------------------- #test w50-avr  w50-max
      01: 2018-01-13_sys2-b.dat                      205   0.77%     3.2%
      02: 2018-01-03_rasp2b.dat                      205   0.69%     7.4%

Tag   Comment                :     nrr01     nrr02 :  t02/t01
T100  LR R,R                 :      1.00      1.00 :    1.000
T101  LA R,n                 :      1.33      1.72 :    1.293
T102  L R,m                  :      3.59      4.52 :    1.259
T103  L R,m (unal)           :      4.11      4.77 :    1.161
T104  LH R,m                 :      4.34      4.90 :    1.129
T105  LH R,m (unal3)         :      4.53      5.04 :    1.113
T106  LTR R,R                :      1.68      1.31 :    0.780
T107  LCR R,R                :      1.72      1.50 :    0.872
T108  LNR R,R                :      1.55      1.39 :    0.897
T109  LPR R,R                :      1.81      1.48 :    0.818
T110  ST R,m                 :      3.67      4.35 :    1.185
T111  ST R,m (unal)          :      4.10      4.77 :    1.163
T112  STH R,m                :      4.54      4.73 :    1.042
T113  STH R,m (unal1)        :      4.49      4.80 :    1.069
T114  STH R,m (unal3)        :      4.48      4.89 :    1.092
T115  STC R,m                :      4.22      4.37 :    1.036
T116  STCM R,i,m (0010)      :      5.89     11.19 :    1.900
T117  STCM R,i,m (1100)      :      6.42     11.79 :    1.836
T118  STCM R,i,m (0111)      :      4.69     10.37 :    2.211
T120  STM 2,3,m (2r)         :      5.28      5.80 :    1.098
T121  STM 2,7,m (6r)         :      6.91      8.21 :    1.188
T122  STM 14,12,m (15r)      :      9.43     12.33 :    1.308
T123  LM 2,3,m (2r)          :      5.42      5.50 :    1.015
T124  LM 2,7,m (6r)          :      7.28      7.31 :    1.004
T125  LM 0,11,m (12r)        :      9.71      9.12 :    0.939
T150  MVC m,m (10c)          :      9.62     10.81 :    1.124
T151  MVC m,m (100c)         :     11.02     17.16 :    1.557
T152  MVC m,m (250c)         :     14.94     31.03 :    2.077
T153  MVC m,m (250c,over1)   :    167.58     39.36 :    0.235
T154  MVC m,m (250c,over2)   :     14.92     29.83 :    1.999
T156  MVCIN m,m (10c)        :     34.97     43.40 :    1.241
T157  MVCIN m,m (30c)        :     97.59    121.73 :    1.247
T158  MVCIN m,m (100c)       :    318.69    395.48 :    1.241
T160  MVI m,i                :      3.80      4.00 :    1.053
T161  MVN m,m (10c)          :      9.59     11.90 :    1.241
T162  MVN m,m (30c)          :     16.16     18.17 :    1.124
T165  MVZ m,m (10c)          :      9.56     11.89 :    1.244
T166  MVZ m,m (30c)          :     16.14     18.17 :    1.126
T170  4*LA;MVCL (10b)        :     16.59     23.04 :    1.389
T171  4*LA;MVCL (100b)       :     19.89     29.79 :    1.498
T172  4*LA;MVCL (250b)       :     24.29     41.42 :    1.705
T173  4*LA;MVCL (1kb)        :     51.03    101.42 :    1.987
T174  4*LR;MVCL (4kb)        :    160.26    346.44 :    2.162
T175  4*LA;MVCL (100b,pad)   :     14.18     18.92 :    1.334
T176  4*LA;MVCL (1kb,pad)    :     21.71     30.47 :    1.404
T177  4*LA;MVCL (4kb,pad)    :     50.81     87.32 :    1.719
T178  4*LA;MVCL (1kb,over1)  :     10.44     12.83 :    1.229
T179  4*LA;MVCL (1kb,over2)  :     54.75    104.57 :    1.910
T190  IC R,m                 :      4.30      4.53 :    1.053
T191  ICM R,i,m (0010)       :      7.61     10.46 :    1.375
T192  ICM R,i,m (1100)       :      7.86     10.46 :    1.331
T193  ICM R,i,m (0111)       :      6.03      4.82 :    0.799
T200  AR R,R                 :      1.63      1.52 :    0.933
T201  A R,m                  :      4.48      5.24 :    1.170
T202  AH R,m                 :      4.79      5.34 :    1.115
T203  ALR R,R                :      1.34      1.23 :    0.918
T204  AL R,m                 :      4.98      5.09 :    1.022
T210  MR R,R                 :      2.72      1.72 :    0.632
T211  M R,m                  :      4.78      5.33 :    1.115
T212  MH R,m                 :      4.86      5.16 :    1.062
T215  XR R,R; DR R,R         :      8.62     18.60 :    2.158
T216  XR R,R; D R,m          :     11.27     21.89 :    1.942
T220  SLA R,1                :      3.14      2.62 :    0.834
T221  SLDA R,1               :      3.54      3.24 :    0.915
T222  SRA R,1                :      2.50      2.17 :    0.868
T223  SRDA R,1               :      3.02      2.78 :    0.921
T224  SRA R,30               :      2.50      2.18 :    0.872
T225  SRDA R,60              :      3.04      2.78 :    0.914
T230  XR R,R                 :      1.53      1.35 :    0.882
T231  X R,m                  :      4.52      5.02 :    1.111
T232  XI m,i                 :      4.68      4.50 :    0.962
T235  XC m,m (10c)           :     10.66     11.23 :    1.053
T236  XC m,m (100c)          :     48.51     39.16 :    0.807
T237  XC m,m (250c)          :    107.46     85.59 :    0.796
T238  NR R,R                 :      1.70      1.35 :    0.794
T239  OR R,R                 :      1.70      1.35 :    0.794
T240  SLL R,1                :      2.12      2.08 :    0.981
T241  SLDL R,1               :      2.81      2.54 :    0.904
T242  SRL R,1                :      2.19      2.09 :    0.954
T243  SRDL R,1               :      2.81      2.51 :    0.893
T244  SLL R,30               :      2.12      2.08 :    0.981
T245  SLDL R,60              :      2.81      2.54 :    0.904
T250  TM m,i                 :      4.25      4.25 :    1.000
T252  TR m,m (10c)           :     13.31     17.22 :    1.294
T253  TR m,m (100c)          :     72.16     72.85 :    1.010
T254  TR m,m (250c)          :    166.07    165.27 :    0.995
T255  TRT m,m (10c,zero)     :     40.47     48.53 :    1.199
T256  TRT m,m (100c,zero)    :    375.49    460.18 :    1.226
T257  TRT m,m (250c,zero)    :    931.74   1145.11 :    1.229
T258  TRT m,m (250c,10b)     :     44.90     53.75 :    1.197
T259  TRT m,m (250c,100b)    :    382.79    465.08 :    1.215
T260  CR R,R                 :      1.22      1.31 :    1.074
T261  C R,m                  :      4.17      4.99 :    1.197
T262  CH R,m                 :      4.37      5.08 :    1.162
T263  CLR R,R                :      1.20      1.12 :    0.933
T264  CL R,m                 :      3.71      4.68 :    1.261
T265  CLI m,i                :      4.70      4.35 :    0.926
T266  CLM R,i,m              :      5.88      6.53 :    1.111
T270  CLC m,m (10c,eq)       :     16.44     10.58 :    0.644
T271  CLC m,m (10c,ne)       :     14.45      9.84 :    0.681
T272  CLC m,m (30c,eq)       :     21.67     11.70 :    0.540
T273  CLC m,m (30c,ne)       :     14.44     10.02 :    0.694
T274  CLC m,m (100c,eq)      :     40.11     14.96 :    0.373
T275  CLC m,m (100c,ne)      :     14.49     10.00 :    0.690
T276  CLC m,m (250c,eq)      :     79.22     23.09 :    0.291
T277  CLC m,m (250c,ne)      :     14.45      9.59 :    0.664
T280  4*LA;CLCL (100b,10b)   :     51.18     67.60 :    1.321
T281  4*LA;CLCL (4kb,10b)    :     52.36     68.94 :    1.317
T282  4*LA;CLCL (4kb,100b)   :    420.72    546.97 :    1.300
T283  4*LA;CLCL (4kb,250b)   :   1027.06   1343.28 :    1.308
T290  LR;CS R,R,m (eq,eq)    :     18.82     18.95 :    1.007
